deviceid,latitude,longitude,datetime,leaving_datetime
210,37.56563505,127.05487655,2019-11-21 14:59:28,2019-11-21 16:00:46
210,37.5702341,126.9877366,2019-11-21 17:30:24,2019-11-21 18:15:22
210,37.5704818,126.98172415,2019-11-21 18:49:40,2019-11-21 19:21:03
210,37.6137055,127.0987184,2019-11-21 20:21:35,2019-11-22 11:16:18
210,37.5843035,127.020324,2019-11-22 11:47:10,2019-11-22 12:35:07
210,37.56510605,127.03636395,2019-11-22 13:47:16,2019-11-22 15:46:43
210,37.6137785,127.0986083,2019-11-22 17:17:36,2019-11-22 17:59:05
210,37.6137337,127.0986868,2019-11-22 18:00:06,2019-11-23 11:00:47
210,37.61371695,127.0987139,2019-11-23 11:00:47,2019-11-23 18:25:29
210,37.61566765,127.0945832,2019-11-23 19:01:40,2019-11-23 20:08:04
210,37.6137126,127.0987153,2019-11-23 20:12:41,2019-11-24 10:03:49
210,37.58669005,127.01751494999999,2019-11-24 10:46:50,2019-11-24 12:22:20
210,37.6001451,127.0138331,2019-11-24 12:41:09,2019-11-24 14:31:09
210,37.6137041,127.09872874999999,2019-11-24 15:43:33,2019-11-25 09:45:52
210,37.5717838,127.034094,2019-11-25 10:54:02,2019-11-25 13:18:11
210,37.6046081,127.0456891,2019-11-25 14:18:51,2019-11-25 15:35:29
210,37.5648563,126.9879459,2019-11-25 16:56:05,2019-11-25 19:29:54
210,37.6137152,127.09871430000001,2019-11-25 20:52:18,2019-11-26 09:01:17
210,37.604659,127.045665,2019-11-26 09:29:20,2019-11-26 10:20:04
210,37.6130011,127.0981077,2019-11-26 10:57:49,2019-11-26 15:30:25
210,37.6137469,127.098693,2019-11-26 15:37:09,2019-11-27 13:13:21
210,37.6137443,127.0986895,2019-11-27 14:32:47,2019-11-28 09:37:22
210,37.6338637,126.91810190000001,2019-11-28 11:27:34,2019-11-28 13:20:29
210,37.613774250000006,127.0986568,2019-11-28 15:28:44,2019-11-28 19:50:31
210,37.6137447,127.0986978,2019-11-28 19:54:41,2019-11-29 08:24:09
